trial,val_rmse,val_r2,train_rmse,train_r2,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,is_best_trial
3,106.14203863112539,0.9135268877072807,18.50781405379741,0.9978582095811246,563,0.029341527565000736,17,7,9,0.5325257964926398,0.9744427686266666,0.530953226900921,0.02932100047183291,True
0,107.52446869032971,0.9143694442042047,2.841585764772103,0.9999494853836932,437,0.22648248189516848,51,7,9,0.5779972601681014,0.5290418060840998,0.08499808989182997,0.0006440507553993703,False
1,206.70541619534293,0.7268043758319089,182.54878226831974,0.7922999274669913,737,0.001124579825911934,63,9,10,0.5909124836035503,0.5917022549267169,2.716051144654844e-06,0.00015777981883364995,False
2,124.37168351243713,0.8927220269349426,71.4639149144718,0.9680814887511818,489,0.005265139631677754,45,4,12,0.6831809216468459,0.728034992108518,0.019116469627784252,3.9572205641009174e-07,False
4,237.86740175195914,0.6413700936331292,220.35709699644843,0.69732836689392,374,0.0017456037635797405,49,6,8,0.7475884550556351,0.5171942605576092,0.1881755597772026,1.1755466083160747e-06,False
5,109.03025186199147,0.9117337576429447,25.115656488576654,0.9960561817043191,696,0.005917607170144194,41,7,9,0.9847923138822793,0.8875664116805573,0.32808889626606236,0.14408501080722544,False
6,110.16169720559931,0.907639384901229,7.372226598217642,0.9996609021143137,638,0.19212959255386391,19,4,6,0.6626651653816322,0.6943386448447411,1.481809088646707e-06,0.04264813784432918,False
7,131.09020800897375,0.8814968426738423,87.67793735466954,0.9519828695534314,421,0.0049648810171066555,42,4,25,0.5372753218398854,0.9934434683002586,0.015064619068942013,3.8879928024075543e-07,False
8,107.94241535400741,0.911083397451199,14.306062572101848,0.9987220648086907,104,0.10471209213501693,50,8,25,0.5370223258670452,0.6792328642721364,8.451863533931625e-08,0.08032068562667222,False
9,111.44234650807073,0.9082148889382424,38.77227136475144,0.9905996891987707,661,0.006601984958164864,18,5,13,0.864803089169032,0.8187787356776066,0.12522814303053625,5.994036749692399e-05,False
10,110.11637653469833,0.9080845856347703,13.68583856754275,0.9988296364887042,207,0.058451252572625234,53,7,25,0.7468977981821954,0.7613664146909971,2.632256136809142e-05,1.5971768764426203e-08,False
11,329.4608962928561,0.3179945549341062,324.0856866343898,0.3453922237972266,197,0.0011963380170058652,46,5,18,0.9537832369630466,0.6246461145744375,1.918948786414487e-05,0.011076667222301087,False
12,275.79952468408464,0.5199726418083543,267.61478989920704,0.5535586089809541,306,0.0015512742044130146,29,4,29,0.9040601897822085,0.8167018782552118,0.0936881625557718,0.026876741555610546,False
13,111.36944503513442,0.9046956066857688,7.423225237851449,0.9996557345074903,268,0.16254621692585527,41,9,28,0.6590017374859319,0.5550259622638384,6.660108438734075e-07,2.6113333123958975e-05,False
