trial,val_rmse,val_r2,train_rmse,train_r2,power,alpha,fit_intercept,tol,is_best_trial
1,367.00554458170734,0.1562052118213904,367.00990866958534,0.16064460582730414,1.3779972601681014,1.951722464144947e-05,True,0.000133112160807369,True
0,400.0892587291801,-0.0043858148658719506,400.3869718505367,0.0009529362614144165,1.4872700594236812,0.566984951147885,True,2.9380279387035354e-06,False
2,399.8226228326106,-0.003029112644673204,400.1185754789426,0.0022927973505634026,1.3102922471479013,0.7072114131472232,True,3.5113563139704077e-06,False
3,367.00554458170734,0.1562052118213904,367.00990866958534,0.16064460582730408,1.391702254926717,0.00033205591037519585,True,7.4763120622522945e-06,False
4,641.2672417948673,-1.5862146750676565,641.9543254564754,-1.568638235024593,1.6059264473611898,4.98275235707645e-05,False,2.334586407601622e-05,False
5,641.2672417948673,-1.5862146750676565,641.9543254564754,-1.568638235024593,1.6925879806965067,9.962513222055098e-05,False,1.3783237455007196e-06,False
6,641.2672417948673,-1.5862146750676565,641.9543254564754,-1.568638235024593,1.6037724259507193,7.122305833333864e-05,False,0.0007886714129990489,False
7,641.2672417948673,-1.5862146750676565,641.9543254564754,-1.568638235024593,1.7041986740582307,0.0003334792728637581,False,2.091498132903561e-05,False
8,641.2672417948673,-1.5862146750676565,641.9543254564754,-1.568638235024593,1.3610191174223893,0.0029914693021302154,False,5.975027999960295e-06,False
9,641.2672417948673,-1.5862146750676565,641.9543254564754,-1.568638235024593,1.631261142176991,0.00036187233309596217,False,3.5856126103453987e-06,False
10,400.0546492793063,-0.004215803326973022,400.35135217155477,0.0011308765270145126,1.7847923138822792,0.07510418138777546,True,6.218704727769077e-05,False
11,367.00554458170734,0.1562052118213904,367.00990866958534,0.16064460582730408,1.7609371175115585,2.769889922756281e-05,True,9.462175356461487e-06,False
